,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.25867557812155,0,0.154916656627647,0,0.128863239107908,0,0,0.276834872528049,0.085835020950683,-6.93889390390723e-18,0,0,0,0,0,0,0,0.00623725383863885,0,0,0,-0.112464370535192,0,0,0,0,0,0,0,0,0,0,0,0,0.0321115131304506,0,0,0,0,0,0,0,0,0,0.11783099168396,0.0132328221086568,0,0,0,0,0
X601939.CH.EQUITY,0.48499181497348,0,0,0,0,0,-0.0489663494011846,0,0,0.0163650275581941,0.192029270396232,0,0.229787313296158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00150581871380991,0,0
X601318.CH.EQUITY,0,0,0,0,0.0129036645827782,0,0,0,0,0,0,0.188004255764681,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153701400399647,-6.93889390390723e-18,0.0918269288242618,0,0.16553676649287,0.206706889997074,0,0,0,0,0
X601288.CH.EQUITY,0.429815942682525,0,0,0,0.343569106202657,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0790356864999114,0,0,0,0.0740888690625079,0.0325012733989397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0542587000795728,0,0.315771864562075,0,0,0,0,0,0,0.181804214944876,0,0,0.084021815987458,0,0,0,0,0.196746732965113,0,0,0,0,0,0.0389166387285622,0,-0.0117518367986763,0,0,0,0.0750824410204835,0,0,0,0,0,0,0,0,0.067590955113633,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0210302853051232,0,0,0,0,0,0,0,0,0.409099221973553,0,0,0,0,0,0,0,0,0,0,0.052591849550942,0,0.12224713286293,0,0,0,0,0,0,0,0,0,0,0,0,0.0838465304239906,0,0.058348062604756,0,0,0,0,0,0,0,0,0,0.260910072878029,0,0
X1299.HK.EQUITY,0,0,0,0,8.67361737988404e-19,0.0835238565259222,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0998919647418337,0,0,0,0,0.088035295664111,0,0,0,0,0,0.177833789753194,0,0,0.0875500427035134,0,0.207098677509334,0,0,0,0,0,0,0,0,0,0.0100538889844932,0,0,0,0.162050286827792,0,0,0,0
X5.HK.EQUITY,0,0,0,-0.0734589324943146,0,0,0,0,0,0,0,0,0,-0.0521797613855381,0,0,0,0,-0.282676342792898,0,0,0,1.0635230083946,-0.710637048531604,3.46944695195361e-18,0,0.613459159165725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406635404899767,0,0,0,0,0,0,0,0,0,-0.0711537769587084,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.204959881979246,0,0,0,0,0,0,0,0,0.0645512859276501,0.131712541304234,0,0,0,0.333059386445187,0,0,0.0631051973852218,0,0,0,0,0,0,0.000352578363979276,-0.0435760844651353,0,0,0,0,0,0,0,0,0,0,0,0,0.0168648183947602,-0.0506918866181309,0
X601658.CH.Equity,0,0,-0.163272359253428,0.29276118801976,0,0,0,0.101417914514678,0.0157725544988272,0,0,0,0,0,0,-0.202738470785369,0,0,0,0,0,0,0,0,0,0,0,0,0.693774364325215,0,0,0,0,0,0,0,0,0,0,0,-0.0690129121566604,0,0,0,0,0.675531630784631,0,0,0,-0.115612198859549,0,0
