,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.0978442012327383,0.209985414862278,0.159582805631557,0,0,0.164101943906272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089241081714952,0,0,0.0679763922704047,0,0,0,0,1.73472347597681e-18,0,0,0.030653971061239,0,0,0,0,0,0,0,0.213868527825664,0,0,0,0,0.0277483393767566
X002142.CH.EQUITY,0.231678346948595,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.0898174769498047,0,0,0,0,0,0,0,0,0,0,-0.000909482828452299,0,0,0,0.257021559732229,0,0,0,0.0449228904642297,0.102883831772087,0,0,0,0,0,0,0.131797809225538,0,0,0,0,0,0,-0.0978617597696135,-0.0398135053675769
X600000.CH.EQUITY,0,0,0,0,0.0503754572036182,0,0,0,0.23327953285535,0.00488814203148639,0.469896920154946,0,0,0,0,0.0989387171387768,0,0,0.0383226960873666,0,0.0904640702493474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.0254536399836168,0,0,0.0716157262170463,0.398636927864448,0.0309349569572894,0,0,0,0,0,0.193644613742737,0,0,0,0,0,-0.0568125004157268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.311767998351244,0,0,0,0,-1.73472347597681e-18,0.00439211353227529,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.0936542135323841,0.0261341825604454,0,0.306700068407662,0,0.0782485139971396,0.0273399452268771,0.294745257762429,0.142511643732208,0,0,0,0,0,0,0,0,0,0,0,0,0.0386704896563251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.285428882501942,0,0,0,0,0,0,0,0,0,0.033590290115474,0,0,0.00526058821316338,0,0,0,0.011406765367982,0,0,0,0.139911896483789,0,0,0,0,0,0,0,0,0.217005711200765,0.285297777832769,0,0,0.149191050359341,0,0,0,0,0,0,0,0,0,-0.0122626944827127,0
X601166.CH.EQUITY,0.12756581587155,0,0,0.109750672288,0,0.230232805626396,0,0.190154780487277,0,0,0,0,0.288688068744479,0,0,0.0297195980848089,0,0,0,0,0,0,0,0,-0.0520784546361163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0396972680689144,0,0,0,0,0,0,0.0513880596186188,0,-0.0272355449314374
X601169.CH.EQUITY,0,0.0508257383920421,0.22214827426338,0.334961391804849,0,0,0,0,0.0219077979949778,0,0,0,0,0,0.00788154728826108,0.0935303506608971,0,0,0,0,0,0,0,0,0,0.0637888427292085,0.0305244019107117,0,0,0,0,0,0.0201792795089523,0.127377991630351,0,0,0,0,0,0,0.0503327872386396,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.171592831334688,0,0,0,0,0,0,0.0224578121517731,0.169477449683626,0,0.111592388933472,0,0,0.205431573252694,0.0716168766208922,0,0,0,0,0,0,0,0,0,0.101230082852591,0,0.100389734653596,0.0112357293916548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030011115724568,0,0,0,0,0
X601288.CH.EQUITY,0.0426353004633918,0,0,0,0,0,0,0,0.0686188324785564,0,0.0953464554627559,0.388117645475567,0,0,0.313265003071665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056016930287483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168220292848896
