,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.206145854731664,0,0,0,0.322803435010362,0.354628100632822,0,0.297734534893839,0,0,0,0,-0.0156768781567143,0,0,0,0,0,0.0237150144547492,0,0,0,-0.0646148751417779,0,0,0,0,0,0,0,0,0,0,0,-0.122117256390758,0,0.0641150272810482,0,0,0.142325944838428,0,0,0.148804699092063,0,0,0,0,0,-0.154654814293641,0
X002142.CH.EQUITY,0.0197114080639965,0,0,0.00153463392333683,0,0.312630993828534,0.224936916028639,0,0,0,0.0487994160598167,0,0,0,0,0,0,0,0,0,0,0,0,-0.066054264082005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158645497778094,0,0,0.135093383926457,0,0,0,0,-0.0333773187148368,0,0
X600000.CH.EQUITY,0,0,0,0,0,0.0927548126136546,0,0,0,0,0,0,0.439664842565028,0,0,0,0,0,0,0,0,0,0,0.00352717991884903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875829391609688,0,0,0,0,0,0,8.67361737988404e-19,0.027347623504257,0
X600015.CH.EQUITY,0,0.197843191071619,0,0,0,0,0,0,0.161646108076959,0,0,0,0,0,0,0.0112667933025837,0.101619208053081,0,0,0,0,0,0,0,0,0,0,0,0.211143124620214,0,0,0,0,0,0,0,0.0807981371896306,0,0,0,0,0.244020377203956,0,0,0.0356761488913648,0,0,0,0,0.00954653781254157,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.133633921505583,0,0,0,0,0.297226745496136,0,0.054610049252329,0,0,0.034467356228381,-0.014779540040401,0,0,0,0,0,0,0,0,0,0,0,-0.283994851189624,0,0.0517024085189343,0.189261000608202,0.624047987568319,0,-0.276576162689783,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0289294253259168
X600036.CH.EQUITY,0.194894185848876,0.255512082158734,0,0,0,0,0,0,0,0,0,0,0,0.0430563274530632,0,0,0.0724747917030798,0.203297152914525,0,0.0207876005181211,0,0,0.0190429543824394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0839094498909429,0.269755235237216,0,0,0.103081117874032,-0.0121396448361482
X600926.CH.EQUITY,0,0.301037439493392,0,0.138865540886735,0,0,0,0,0,0,0,0,0,0,0.107766010481931,0,0,0,0.132009357091921,0,0,0,-0.0759764353509002,0,0,0,0,-0.171951692773856,0.281790216492221,0,0,0,0,0,0,-0.0681865415595044,0,-0.0461187188596613,0,0,0.0437946723442869,0,0,0,0,0.125503467723021,-0.0313124332591213,0,0,-0.0119296987548431,-0.00926138537702301
X601009.CH.EQUITY,0,0,0,0,0,0.013615109833329,0,0,0,0,0,0,0.404082127927616,0,0,0,0.115312090787383,0,0.00303646064513563,0.0227051645843026,0,0,0,0,0,0,0.197604644934658,0,0,0,0,0,0,0,0,0.236383645362914,0,-0.174732889396184,0,0,-0.261834835611277,0.0908475289611479,0,0,0,0.0907526287574785,0,0.0982469476815994,0,0,0
X601166.CH.EQUITY,0.274895901197183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424147525453231,0.0824793382580761,0,0,0.0244606131403609,0,0.0182183777369535,0,0,0,0,0,0,0,0,0.0317414066644182,0,0,0,0,0.100492530401296,0,0,0,0,0,0,0,0,0,0,0,-0.0709489313045977,0,0,0,-0.0453291279258545
X601169.CH.EQUITY,0,0,0.0604353553811767,0.108085923535635,0,0,0,0,0,0,0.246087119500359,0,0.0270740447366615,0,0,0,0,0.147975920142351,0.0899660958358481,0,0,0,0,0,0.0524084526471983,0,0,0,0,0,0,0.0260700329853302,0,0,0,0,0,0,0,0.00245761828695769,0,0,0,0,0,0,0,0,0,0,0
