,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,MKRturn,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0.390882089107152,0,0,0,0,0.0202752379290164,0,-0.22124350968669,0,0,0.0845189949130525,0,0,0,0,0,0,0,0,0,0,0,0.125394292337182,0,0,0,0,0,0.0740439196298007,0,0.104376165199057,0,0,0.00236730449901439,0,-0.0369111246273128,0.144278496515857,1.38777878078145e-17,0,0.106232393640703,0,0,0,0,0,0.139045672426526,0
X002142.CH.EQUITY,0.0488215105327795,0,0,0,0,0.325581701899888,0,0.0985741672400392,0,0,0,0,0,0,0,0.0297611679588104,0,0,0,0,0.0452916523006388,0,0.202446885668943,0,0,0,0,0,0,-8.67361737988404e-19,0.116357926221539,0,0,0,0.0532790412865728,0,0,0,-0.064389304786087,0.0975890832134215,0,0,0,0.114899580424993,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0645746945406285,0,0,0.709115624814593,0.0284821530147415,-0.0748953050734585,0,0.443624485931328,0,0,0.028180340080263,-0.113027577195812,0,0,0.0292026188023752,0,-0.0110957906002188,0,-0.00842963092382767,0,0.0436188545472183,0,0,0,0,0,0,-0.0267213082277861,0,0,0,0,0,0.0402605586081687,0,0,0,0,0
X600015.CH.EQUITY,0.0085145192278547,0,0,0,0.132341498652068,0,0,0,0,0.0663188306784385,0,0.24787933342933,0,0,0,0,0,0.153423559294094,0,0.0133916536873905,0,0.0325329512536979,0,0,0,0,0,0,0,0,0.0276901208023056,0,-0.120883707408657,0,0,0,0,0,0,0,0.874253866763412,0,0,0,0.104990987180799,0,0,0,0,0,0,-3.46944695195361e-18
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0105188752011341,0,0,0,0.176297917722291,0,0.0915092576334639,0.0325274081610598,0.195437660414228,0,0,0,0,0,0,0,0,0,0.00411257273183842,0,0,0,0,0,0,0,0,0,0,-0.164074257359524,0,0,0.457948364572475,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.520560096080104,0,0,0,0,0,0.0156029662599473,0,0,0,0,0,0,0,0,0,0,0,0,0.0070861508687856,0.0206196635549348,0,0.0385610442655529,0.0570132466374463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0.194448751623928,0,0.0484623867201328,0,0,0,0,0,0
X600919.CH.EQUITY,0.127672546572979,0,0,0,0,0,0,0.0644700785859728,0,0,0,0,0,0,0,0.0980285151053084,0.0122194287076605,0,0,0,0,0,0,0,0,0.280780864639671,0,0,0,0,-0.101031697343194,0,0,0,0,0,0,-0.19664683557908,0.436875932869924,0,0,0,0,0,0.321590166201423,0,0,0,0,0,-0.0515227594949582,0
X600926.CH.EQUITY,0,0.161057032672544,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176939618635213,0,0.408729860674869,0,0,0,0,0,0,0,0,-0.0680914275557797,0,0,0,-0.0482878525973111,0.0174266924514253,0,0,0,0,-0.11021617721726,0,0,-6.93889390390723e-18,0,0,0,0.0543326241026516,0,0,0,-0.0165171085239361,-0.0655001942686986,0,0,0.204659546133654
X601009.CH.EQUITY,0,0,0,0,0.027749623071131,0,0,0,0,0,0,0,0,0,0,0.0175494742882088,0,0.179506069898031,0.0425354758715727,0.103527964438401,0.046784149838432,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0407721188666153,0,0,0,0.116024315538672,0,0.0305913666068486,0,0,0.0911842695368675,0.0548499804088169,0.249059949748657,0,0.0586224080088644,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0238636643869814,0,0.0263042506021569,0,0,0.113988391323611,0,0,0.127039761526901,0,0.0109405508575168,0,0,0,0,0.0342538569886096,0,0,0,0,0,0,0,0,0.013192129825687,0,0,0,0,0,0,0,0,0.161541212684158,0,0.0555190278912994,0.0995142637201276,0,0,0,0,0,0.0700200376021824,0.0550392341647305,0.0371466936406784,0,0,0.0213266959892036,0,0,0,0
