,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.191569180323016,0,0.443388675700646,0,0,0,0,0.152591790461796,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0263643445393793,0,0,-0.134344592027757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1684351423557,0,0.0128396415652393,0,-0.054126606121331
X601939.CH.EQUITY,0.359119851363999,0,0,0.288305998348536,0,0,-0.0972051858931283,0,0,0,0.00283528934107186,0,0.14125417895254,-0.0661323771475451,0,0,0,0,0,0,0,0,0,0,0,0.0319962736007784,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0.200138582190265,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.110835766354276,0,0,0,0,0,0,0,0,0,0,0.041335109919485,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.268114977626925,0,0,0,0,0,0.109811938408356,0,0,0.0705031702994072,0,0.132735805116417,0,0,0,0
X601288.CH.EQUITY,0.454262664731279,0,0,0,0.200327169498515,0,0,0,0,0,0,0,0.0262590014867178,0,0,0,0,0,0,0,-6.93889390390723e-18,0.168809370192566,0,0,0,0,0,0.0184386528763694,0,0,0,0,0.0292559722836511,0,0,0,0,0,0,0.00673333889273444,0,0.0636515540663783,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.14990284375858,0,0.303308866167155,0,0,0,0,0,0.233329080567471,0,0,0,0,0,0,0,0.34439699727075,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0373945896708325,0,0,0,0,0,0,-0.106864786325939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0196970423990305,0,0,0,0,0,0,0,0,0.408319082047599,0,0,0,0,0,0,0,0,0,0,0.0524468409696975,0.013602203924828,0.124989805906682,0,0,0,0,0,0,0,0,0.0886589028732108,0,0,0,0,0,0,0.057228124076407,0,0,0,0,0,0,0,0.269072196896657,0,0
X1299.HK.EQUITY,0,0,0,-1.73472347597681e-18,0,0.117173462939294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047700258037652,0.205031021640718,0,0,0.0594965567289671,0,0,0.193975163636711,0,0,0,0,0,0,0,0,0,0,0,0,0.191298007799258,-6.93889390390723e-18,0,0
X5.HK.EQUITY,0,-0.253046092667654,0,0,0,0,0,0,0,0,0,0,0,-0.0291463023373458,0,0,0,0,0,0,0,0,1.16132860950341,-0.752846052274901,0,0,0.500795934022669,0,0,0,0,0,0,0,0,0,0,0,0,0.404116497392735,0,0,0,0,0,0,0,0,0,0,-0.0715771047121869
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0428385793791458,0,0,0,0,0,0,0.188200495715372,0.186036705729395,0,0,0,0,0,0.28939448959305,0,0,0.0475821335409786,0,0,0,0,0,0,0,0.0434366817694174,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0376535568997819
X601658.CH.Equity,0,0,0,0.514505903877653,0,0,0,0,0,0,0,0,0,0,-0.259556793703399,0,0,0,0,0,0,0,0.107742310537865,0,0.143445307013933,0,0,0,0.733235596664978,-0.0671387593931514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0837353967539442,0,0
