,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.208289029684943,0,0.106654051442234,0,0,0,0,0.273074273878458,0.0495225003360296,0,0,0,0,0,0,0,0,0.130758588697176,0,0,0,-0.0440682103901684,0,0,0,0,0,0,0,0.10008620275729,0,0,0,0,0.0545584945623339,0,0,0,0,0,0,0,0,0,0.0118886639103488,0.0551365360659288,0,0,0,0,0
X601939.CH.EQUITY,0.457984907145885,0,0,0.0182122258454061,0,0,-0.0318954878531603,0,0,0,0.192661322117454,0,0.226656615823837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00854222624073132,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.165270686188061,0,0,0,0,0,0,0,0,0.0301701660311417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149665667669601,0,0,0.0800571502424141,0,0.175627321289924,0.201158564190339,0,0,0,0,0
X601288.CH.EQUITY,0.425934051846947,0.083358951538626,0.0660973768110551,0,0.162789384526546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311642437760803,0,0,0,0,0,0,0,0,0,0,0.0889492565976408,0,0.0522993172153378,0,0,0,0,0,0,0,0.0599300872544439,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0220924506908093,0,0.524277158231636,0,0,0,0,0,0.222053231179923,-2.16840434497101e-19,0,0,0,0,0,0.174229619880314,0,0,0,0,0,0,0,0,0,0,0,0,0.0550727763011013,0,0,0,0,0,-0.0659887944983264,0,0,0,0,0,0.0674294600001209,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0216993677953971,0,0,0,-3.46944695195361e-18,0,0,0,0,0.415391894520797,0,0,0,0,0,0,0,0,0,0,0.0541550690223901,0,0.125594371987503,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.0850113854765909,0,0,0,0,0.0600137199957876,-2.16840434497101e-19,0,0,0,0,0,0,0.26955778237069,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.113976591537679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535599161755642,0,0.200965659677921,0,0,0.054102007507558,0,0,0.194240528056752,0,0,0,0,0,0,0,0,0.00136382061301464,0,0,0,0.190278737461611,0,0,0,0
X5.HK.EQUITY,0,-0.295163448830083,0,-0.0620898694633579,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,1.30445764221651,-0.855797712924597,0.0906210575712048,0,-0.0173147870522292,0.366679160633769,0,0,0,0,0,0,0,0,0,0,0,0.427942045349887,0,0,0,0,0,0,0,0,0,0,0.12020833416171,-0.06725834273562
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0598048320160211,0,0,0,0,0,0,0.0782506135558812,0.286631901764329,-6.93889390390723e-18,0.0856471715098897,0,0,0,0.213058817737407,0,0,0.0450764535645411,0,0,0,0,0,0,0.0185687913768886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0758639298615034,0.00780597496813906
X601658.CH.Equity,0,0,-0.0622707619077894,0.619832966748875,3.46944695195361e-18,0,0,0,0.0332507236670323,0,0,0,0,0,-0.451635223433318,0,0,0,0,0,0,0,0.147976167649357,0,0.0902603127165126,0,0,-0.00598858517476548,0.853156891078614,0,0,0,0,0,0,0,0.0701120823320272,8.67361737988404e-19,0,-0.141388493879792,0,0,0,0,0,0,0,0,0,-0.0923664526327829,0,0
