date,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,XLM,LINK,ADA,XMR,LEO,TRX,HT,CRO,STO,DASH,ETC,MIN,HEDG,NEO,ATOM,MIOTA,HEX,ZEC,XEM,MKR,INO,ONT,OKB,DOGE,FTT,BAT,PAX,VET,ELAMA,PLF,DGB,BTG,MWC,CCXX,ZRX,HYN,INB,DCR,TNC,THETA,OMG,DNA,ICX,DOT,WBTC,DAI,YFI,LEND,CEL,SNX,AAVE,UNI,CETH,FIL,CDAI,CUSDC,SOL,ZIL,COMP,HBTC,KSM,WAVES,EGLD,AVAX,SUSHI,UMA,RENBTC,STX,LRC,NEAR,LUNA,NANO,RSR,ALINK,GRT,ESD,ALGO,TUSD,REN,NEXO,BCHA,QTUM,RUNE,HBAR,HUSD,NXM,CHSB,ZEN,AMPL,BTT,AETH,EWT,KNC,XVG,QNT,UST,SC,SNT,LSK,BAND,IOST,BAL
2014-11-28,5101280353,NA,NA,468309655,NA,NA,123377045,NA,NA,NA,NA,10135465,NA,NA,2759676,NA,NA,NA,NA,NA,11639680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23525340,NA,NA,NA,NA,NA,NA,182512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-29,5089799280,NA,NA,431780094,NA,NA,122878125,NA,NA,NA,NA,8932892,NA,NA,2767536,NA,NA,NA,NA,NA,11637856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23345154,NA,NA,NA,NA,NA,NA,198065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-30,5125958175,NA,NA,346223285,NA,NA,122633403,NA,NA,NA,NA,7829175,NA,NA,2776543,NA,NA,NA,NA,NA,11695823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23290366,NA,NA,NA,NA,NA,NA,229097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-01,5143434464,NA,NA,387823565,NA,NA,122774757,NA,NA,NA,NA,9003314,NA,NA,2344415,NA,NA,NA,NA,NA,11622836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23250667,NA,NA,NA,NA,NA,NA,210523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-02,5172928823,NA,NA,406333853,NA,NA,124732439,NA,NA,NA,NA,8534971,NA,NA,2615755,NA,NA,NA,NA,NA,11932277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23139410,NA,NA,NA,NA,NA,NA,210767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-03,5088491940,NA,NA,405478439,NA,NA,124182852,NA,NA,NA,NA,8407976,NA,NA,2526707,NA,NA,NA,NA,NA,11936326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22804397,NA,NA,NA,NA,NA,NA,192494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-04,5016487250,NA,NA,412053081,NA,NA,123618964,NA,NA,NA,NA,8415729,NA,NA,2280733,NA,NA,NA,NA,NA,11431651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22171411,NA,NA,NA,NA,NA,NA,194832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-05,5116358331,NA,NA,425696466,NA,NA,124598071,NA,NA,NA,NA,8351251,NA,NA,2151033,NA,NA,NA,NA,NA,11671904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22511818,NA,NA,NA,NA,NA,NA,193469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-06,5089542822,NA,NA,444879967,NA,NA,124574772,NA,NA,NA,NA,8531615,NA,NA,2233474,NA,NA,NA,NA,NA,11571946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22144531,NA,NA,NA,NA,NA,NA,184549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-07,5094943517,NA,NA,456865023,NA,NA,128024050,NA,NA,NA,NA,8256784,NA,NA,2377440,NA,NA,NA,NA,NA,11664894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22101740,NA,NA,NA,NA,NA,NA,171169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
