,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.194626461840438,0.148037624207287,0,0,0,0.115163205129683,0,0,0,0,0,0,0.163729936734547,0,0,0,0.050790126118549,0,0,0,0,0,0,0,0,0,0.0860387915449068,0,0,0,0,0,0,0,0.085479229375322,0,0.182176288737205,0,0,0,0,0.0160078059624785,0,0,0,3.46944695195361e-18,0,0,0,0.0264749628845974
X002142.CH.EQUITY,0,0,0,0,0,0.135794025886906,0,0,0,0,0,0,0.175975065902236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202603009063756,0,0,-0.232889232557972,0.564575902434691,0,0.244092509721179,0.0149376441676949,-0.0166840404857637,0.0568764634074378,0,0,0,0,0,0,0,0.0835352187821775,0,-0.0760202745280249,0,-0.0242333144879419
X600000.CH.EQUITY,0,0,0,0.338911584989169,0.389097571286914,0,0,0.0619211957888335,0,0,0.0577877964522068,0,0,0,0,0,0,0,0.0737046813568125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0253484593368949,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.342620796837011,0,0,0.346453709203925,0.00653036678959943,0.107546844464934,0,0,0.0996078362127424,0,0,0,0,0.0197450860225301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013522215463015,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.247508003031978,0,0,0.324512141306836,0,0,0.120210833217272,0.289573029253289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0192687499514702,0,0,0,0,0,0.368941273375272,0,0,0,0,0,0,0,0,0,0,0,0,0.154238181342776,0,0,0,0.0167055009994735,0,0,0,0.108438069008166,0,0,0,0.164654521051429,0,0,0,0,0.0704094274056058,0,0,0,0.00863880614025226,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.113985866947516,0,0,0,0,0.110755154432101,0,0.319650473852944,0,0.0445518537277301,0,0,0.349929067023342,0,0,0,0,0.0158129899958315,0,0,0,0,0,0.0523639896138945,-0.0731658701510894,0,0,0,0,0,0,0,0,0,0,0,0,0.0197942960647452,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0.0365761594079107,0
X601169.CH.EQUITY,0,0,0.0036267384748312,0.198975199039126,0.0955213162575367,0,0,0,0.223985806085547,0,0,0,0,0,0,0.167164109134526,0,0,0,0,0,0,0.0840216286754991,0,0,0.00700155504597862,0,0,0.0296849971290193,0,0,0,0.0793638052700913,0.0439879382134559,0,0,0,0,0,0.0702612659813824,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.150981024419382,0.232269879150811,0.128292794754442,0.131127051867706,0,0.0558019069992778,0,0,0,0.0419918064140301,0,0.0432106285600336,0,0.139738377296094,0,0.0423678845665305,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226765420531232,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0424632851281759,0.374017443439755,0.0418180723272193,-6.93889390390723e-18,0.418073235895122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869663561461922,0,0,0,0,0,0,0.00289407211492882,0,0,0,0,0,0,0,0,0,0,0,0,0
