,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600015.CH.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.399708905872203,0.0071209866062631,-8.67361737988404e-19,0,0,0,0,0,0,0.227086634447321,0,0,0,0,0,0,0,0,0.120463945522021,0,0,-0.00612936031611837,0,0,0.0741270752574454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00852824087841322,0,0,0,0,0.00380571186141042,0,0.0553439683501418,0,-0.129918174159719,0
X601939.CH.EQUITY,0.476239933601047,0,0,0.156148140073135,0,0,0,0,0,0,0.137384428541439,0,0,0,-0.0409688932555024,0,0,0,0,0,0,0,0,0,0,0.182765851497432,0,0,0,0,-0.0501436572906836,0,0,0,0,0,0,-0.0169313896996819,0,0,0,0,0,0,0,0,0,0,0,0.0553697736258349,0,0
X601318.CH.EQUITY,0,0,0,0,0.191122578211471,0.0799715478417202,0,0,0,0,0,0,0,0,0.108566044709252,0,0,0,0,0.230598606115513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140337245677807,0,0,0,0,0.0977328949589409,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.297092260598737,0.0953382268164751,0,0,0.174370832294941,0,0,0,0,0,0,0,0,0.18940733591384,0,0,0,0,0,0,0.0453182866001869,0,0,0,0,0,0,0,0,0,0,0,0,0.121982644199568,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.379220419707588,0,0,0,0,0,0.333084273520044,0,0,0,0,0,0.211823883693107,0,0.137121835162223,0,0,0,0,0,0,0,0,0.068618081390909,0,0,0,0,0,0,0,0,0,0,-0.505478380734172,0,0,0,0,0,0,0,0.0115205803451117,0,0,0,0,0,0.310939958322611
X600036.CH.EQUITY,0,0.0272864208143735,0,0,0,0,0,0,0.0112494888866017,0,0,-0.0318568322692172,0.187620367539574,0,0,0,0,0.122811302833302,0,0.182226581321546,0,0,0,0.0750266052529268,0,0,0,0,0,0,0,0.35138834900843,0,0,0,0,0,0,0,0,0,0.0307564472659532,0,0.151284902180568,0,0,0,3.46944695195361e-18,0,0,-0.0080891095656808,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20636369334395,0,0,0.386924802907594,0,0,0,0,0,0.0576601591135893,0,0,0,0,0,0.0496582911569139,0,0,0,0,0,0,0,0,0,0.140857736840867,0,0.0830757048356789,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152455984733368,0,3.46944695195361e-18,-0.153515563774166,0,0,0,0,-0.450415386694195,0.636241903150197,0,0.0992009877085105,0,0.698759058369242,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,-0.106246863459029,0,0,0.327923740684949,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.161896746869977,0,0,0,0,0.154104681993487,0,0,0.271726681398752,0,0.0623252246339424,0,0.00872809599175634,0,0,0,0,0,0,0,0,0.00168677569419872,0,0,0,0,0,0,0,0.222421863951562,0,0,0,0,0,0,0.105869440454597,0,0,-0.147446549370712,0.0474655740457742
X601658.CH.Equity,0,0,0,0,0.13605202637022,0,0,0,0,0,0,0,0,0,0,0,0,0.268248249834014,0,0,0,0.028015489466744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323450392565973,0,0.164187141836252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.334275618683981,0,0,0.30075262456107,0,0,0,0,0,0,0,0,0,0,0,0.1156960896142,0,0,0,0,0,0,0,0,0.0408628770127706,0,0,0,0,0.184473024320094,0.0107542650623311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0920842975659251,0,0.0642651598241902,0
X388.HK.EQUITY,0,0,0.430615490761931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872469312543295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044114458493113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00261484030935702,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.0538153998698509,0,0.313698600864747,0,0,0,0.0254707465777459,0,0,0,0,0,0,0,0.0244557670566447,0,0,0.0291296815680411,0,0,0,0,0,0,0,0,0.230848196602203,0.0591834582330899,0,0,0,0,0,0,0.00871564471503158,0,0,0.0344707650688926,0.0386314333343013,0,0,0,0,0,0.0851416727995181,0,0.141950431424365,0,-0.00160446171111347
X600000.CH.EQUITY,0.109282735156673,0,0,0.14615243596409,0,0,0.0183346690488742,0,0,0,0,0,0.287712026701094,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0652600013338159,0,0,0,0,0,0,0.129897154735818,0,0,0,0,0,0,0,0,0,0,0,0,0.0259905807074909,0,0.0115426313044515,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722145281751507,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.304586168215241,0.0606984185674869,0,0.0225317122505364,0.372707079259826,0,0,0.00773391898626213,0,0.0472008931238427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367055308640485,0,0,0,0,0,0,0.257163757786756,0,0,0,0,0,0,0.00359749432366722,0,0.213524036713933,0.267860990839417,0,0,0.0569001171387246,0.0693129406473103,0.0806823978824966,0,0.0100011728472673,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0.3481806957933,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201520714682691,0,0,0,0,0,0,0,0.048578456031979,0,0,-0.0615375404344061,0.0197106457048569,0,0,0.285006000266772,0,0,0.139831362603048,0,-0.0785238534871219,0,0,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0.353760622438277,0,0,0,0,0,0,0,0,0,0,0,0.120124110795163,0,0,0,0,0,0,0,-0.00872231630897136,0,0,0,0,0,4.33680868994202e-19,0,0.0751723546631618,0.320398987014404,0,0,0,0,0.130475054430474,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0440824035882991,0
X688.HK.EQUITY,0,0.268138545753592,0,0,0,0,0,0.121427865325744,0,0,0,0,0,0.0924811680071028,0.0728930861708724,0,0,0,0,0,0,0,0,0,0,0,0,0.237666784988676,0,0,0,0,0,0,0,0.121736568930298,0.0537270626174611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0.00688486142857921,0,0.765488213892028,-1.73472347597681e-18,0,0,0,0,0,-0.103262940448945,0,0,-6.93889390390723e-18,0,0,0,0.096380061929533,0,0,0,0,0,0,0,0,0,0.039969247840439,0,0,0,-0.0506584724184828,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-0.0631542682549919
