,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.109145311618702,0.220926989629483,0.145282637720176,0,0,0.143952261499892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744654409945837,0,0,0.0910186677151402,0,0,0,0,0.0135202709320858,0,0.0385914597701347,0,0,0,0,0,0,0,0.203611110491176,0,0,0,0.0366474393324322,0
X002142.CH.EQUITY,0,0,0,0,0,0.231965493434613,0,0,0,0,0,0,0,0,0,0,0.0854038672996632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283906863995955,0,0,0,0,0.0453916319247109,0,0.123334023747262,0,0,0,0.0811891716221558,0,0,0,0,0,0,-0.0915729973062556,0.192709921970956
X600000.CH.EQUITY,0,0,0,0,0.47032198749057,0,0,0.152981198104598,0.0810113439110065,0,0,0,0,0,0,0.0574782299445629,0,0,0,0,0,0.0507916321340202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459076976826629,0,0,0,0,0,0
X600015.CH.EQUITY,0,0.0211300130879425,-3.46944695195361e-18,0,0,0,0,0.120960085075889,0,0,5.55111512312578e-17,0.273150663253632,0.397995946107422,0,0,0,0,0,0,-0.111468077095846,0.0767441575056403,0,0,0,-0.0404166887474611,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.278597600323442,0,0,-0.0438344766020924,0,0,0,0
X600016.CH.EQUITY,-1.73472347597681e-18,0,0,0,0,0,0,0.202792387155604,0,0,0.251567207202518,0,-1.73472347597681e-18,0.11656532960143,0.288181960997263,0.093788739025864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464419865166524,0,0,0,0.0137130914671442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.132105835941903,0,0,0,0,0.328477105378634,0,0,0,0,0,0,0,0,0,0,0.0249456208169734,0,0.0498768693934941,0.27174590170564,0,0,0,0.0731716593685296,0,0,0,0.0930781704318483,0,0,0,0.0288535411169438,0,0,0,0,0,0,0,0,0.00154258588938823,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0503126133491143,0,0,0.013106018331247,0,0.169228579596728,0,0.232047314971294,0,0,0,0,0.309899962172909,0.128236175515893,0,0,0,0,0,0,0.0784057348583716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563382723772521,-0.0115844520905696,0
X601169.CH.EQUITY,0,0.0217822733859764,0.217306607653877,0.279515449862484,0,0,0,0,0,0,0,0,0,0.0552818907049119,0,0.110121881299245,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0.0984925518178097,0,0,0,0,0,0,0.0323404558852443,0.159398043611124,0,0,0,0,0,0.042771591508957,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.123289391529502,0,0,0,0,1.38777878078145e-17,0,0.0251311425002183,0.150696703302509,0,0.19631374226087,0,0.122630622588778,0.0797462578655531,0.111871662293969,0,0,0,0,0,0,0,0,0,0,0.0170167804240443,0,0.161359252628325,0,0,0,0,0,0,0,0,0,0,0.00863549979867407,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0318570860429345,0,0,0,0,0,0,0,0.0880715300410967,0,0.092242032115588,0.368609311360627,0,0,0.304978780840235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788838760917219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244001966655019,0
