,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.389123041195959,0,0,0,0.485072498778457,-0.0775185785598404,0,0,0,0,0,0,0,0,0,0,0.0246469217184916,-0.153318675393932,0,0,0,0.0922789479469749,0,0,0,0.107420625942429,0,0,-0.162158027721258,0,0.252390560929882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119106293355333,-0.0479427666622171,0,0,-0.0657622150707252,0
X002142.CH.EQUITY,0.645635472887941,0,0,0,1.73472347597681e-18,0.133862339205083,0,0,0,-0.0133701434187697,0,0,-0.0525155160297731,0,0.0355044395590703,0,0,0,0,0,0,0,0.0622873871603235,0,0,0,0,0,0,0,0,0,0.043015353035344,0,0,0.0153098163714589,0,0,0,0,0,-0.00973671524656952,0,0,-0.0563010625817203,0,0,0,0,0,0,-0.0580546621390143
X600000.CH.EQUITY,0,0,0,0,0,0,0.154881977528598,0,0,0.160177763897163,0,0,0.0542299016237772,0.154557684766343,0,0,0.0579241809970742,0,0,0,0,0.0716465040729478,0,0,0,0,0,0,0,0.0460895642626759,0,0,0,0,0.00136750503206873,0,0,0.00525594659673174,0,0,0.0873130004623716,0,0.137253804164122,0,0,0,0,0,0,0,0,-0.0453988485550634
X600016.CH.EQUITY,0,0,0.0293538768908445,0,0,0.181729140184392,0.441461050579731,0,0,0.238924442991262,0,0,0,0,0,0,0,0.116908442973045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.405516528241907,0,0,0.0296769905149542,0,0,0,0,0.203449710659803,0,0,0.0396070863586156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145529757837232,0,0,0.0605065474784225,0,0.0151722917002801,0,0,0,0,-0.0849059898865255,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.498113011759531,0,0,0,0,0,0,0,0,0,0,0.143946619678033,0.115953768620026,0,0,0,0,0,0,0,0,0,0,0,0,-0.029794338813461,0,0,0,0,-0.154843154106046,0,0,-2.16840434497101e-19,0,0,0,0.0535332972940605,0,0,0.0735475117700204,0,0,0,-0.0705358159480633,0,0.121076338084277,0,0,0,-0.0537207250566645,0
X601169.CH.EQUITY,0,0,0.0375367311838352,0.667907304734725,0.0624569324821053,0,0,0,0,0,0,0,0.150725311599826,0,0,0,0,0.146167559640597,0.00251440421329663,0,0,0,0,0,0,0,-0.026592047167119,0,0,0,0,0.0913321137850208,0.0315828813058595,0,0,0,0,-0.243552721388948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0.167004759024238,0,0,0,0,0,0,0,0.0975371496541043,0.0754017923973535,0,0,0.121775405020773,0,0,0,0.0836506273791283,0,0,0,0,0,0,0,0,0,0.175649942191973,0,0,0.0495075173503423,0,0.0567762694714219,0,0,0,0,0,0.090540890248698,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0109508792472162,0.0195002906418844,0.096160632639538,0,0,0.0782884626149389,0,0,0,0,0,0.0217815089304873,0.0755837102001669,0.393442539808583,0.180179610305262,0,0,0,0,0,0,0,0,0,-0.0140312461466559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176686567602139,0,0,0
X601328.CH.EQUITY,0,0,0.0505662398206357,0.176726608188621,0,0,0,0.115153671423598,0,0,0.316524316690431,0,0.0350817014726075,0.158728959255979,0,0.0538236013520665,0.0166572950478232,0,0,0,0,0,0,0,0,0,0,0.0601546941146993,0,0,0,0,0,0,0.0222825403036865,0.0258473827254136,0,0,0,0,0,0,0,0,0,0.12067720935768,0,0,0,0,0,0
