,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.0663012594283616,0,0,1.38777878078145e-17,0,0.0196108043192943,0.234363869188052,0,0,0,0,0,0,0,0,0.0224915363309187,0.157823805329408,0,0,-0.0353982922763085,0,0,0.150202632982127,0,0,0,0,0,0.0777010885721121,0,0,0,0,0,0,0,0,0,0,0,0.304295696656284,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.154789953264812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468437462875486,0,0,0.0339284360573709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809437531921549,0,0,0,0,0,-1.38777878078145e-17,0,-0.0958695505745892,0.177014956050297,0.0220663249149829
X600000.CH.EQUITY,0,0,0,0,0.355464703632074,0,0.00217831820484939,0,0,0,0.0807045580435838,0,0.148286021640922,0,0,0,0,0.142043871102055,0,0.11617782670341,0,0,0,0,0,0,0,0.103359960111013,0,0,0,0,0,0,0.0024214707284704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0.38553732721899,0.407320957552032,0,0,0,0,0,0,0,0,0,0,0,0.192498815347819,-0.0587443341676821,0.0235144015541688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00711134021361875,0,0,0,0,0,0,0,0,0,0.0969595754525547
X600016.CH.EQUITY,0,0,0,0.0870724846052998,0,0,0,0,0,0.109079789712121,0.0290645347326859,0.0571163304786393,0.292974416604512,0,0,0,0,0.310208132923071,0,0.0909658029617715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.308188465136951,0,0,0,0,0,0,0,0,0,0.0443776510230607,0,0,0,0,0.05021096053419,0.1843106047069,0,0.0552000457521734,0,0,0,0.0265676104924217,0,0,0,0,0.142060216641899,0,0,0.0286076232247581,0.014139817151665,0,0.0772735265549995,0,0.0505123744587931,0,0,0.0408740487530584,0,0,0,0
X600919.CH.EQUITY,0,0,0,0,0,0,0,0.242160560582287,0,0.327224526622988,0,0,0,0,0,0,0.0157844970251643,0.0562274876987149,0.00519203968837968,0,0,0,0,0,0,0,0,0,0,0.191033555308463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614749858376817,0,0.0281514510233916,0,0,0,0,0
X601009.CH.EQUITY,0.108105826736526,0,0.0402567023322741,0,0.349769391885353,0,0,0,0,0,0,0.00911371151049726,0,0.0513760278989101,0.0751615801003758,0,0,0,0,0.195603153174748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490972128019948,0,0,0,0,0.0133834285302883,0,3.46944695195361e-18,0,0,0,0,0,0,0
X601166.CH.EQUITY,0.0948392652402948,0,0,0,0,0.168961906028892,0,0.0630439671034833,0,0,0,0.185950967230079,-4.33680868994202e-19,0,0.17149251006169,0.111262534972921,0,0,0,0.112255767904264,0,0,0,0,0.0522768044854546,0,0.0574350235723267,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257790379746564,0,0,0,0,0,0,0,0,0,0
X601169.CH.EQUITY,0.114215274697572,0,1.38777878078145e-17,0.239570116057218,0,0,0.157355090978779,0,0,0,0,0,0.0329774572886447,0,0,0.0787484448284297,0,0,0.00224391270596421,0.36488796967891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
