,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.20829274612005,0,0.106644507423041,0,0,0,0,0.27307191895707,0.0495242861993629,0,0,0,0,0,0,0,0,0.130762846548239,0,0,0,-0.0440627015690608,0,0,0,0,0,0,0,0.100099112184735,0,0,0,0,0.0545546415717228,0,0,0,0,0,0,0,0,0,0.0118887190521099,0.0551268937072617,0,0,0,0,0,0
X601939.CH.EQUITY,0.457983555192001,0,0,0.0182077958208798,0,0,-0.0318934058085198,0,0,0,0.192637576092658,0,0.226689340840871,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.00853504293312999,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.165270686188061,0,0,0,0,0,0,0,0,0.0301701660311417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149665667669601,0,0,0.0800571502424141,0,0.175627321289924,0.201158564190339,0,0,0,0,0,0
X601288.CH.EQUITY,0.425931555248827,0.0833921369209426,0.0660889287835604,0,0.162757742892423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311791050682664,0,0,0,0,0,0,0,0,0,0,0.0889487357672522,0,0.0522844170026045,0,0,0,0,0,0,0,0.0599368985584269,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0220526785794957,0,0.524354502092538,0,0,0,0,0,0.222037452572691,0,0,0,0,0,0,0.174285985048239,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0550684859413429,0,0,0,0,0,-0.0660299641259268,0,0,0,0,0,0.0673726941200156,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0216993677953971,0,0,0,-3.46944695195361e-18,0,0,0,0,0.415391894520797,0,0,0,0,0,0,0,0,0,0,0.0541550690223901,0,0.125594371987503,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.0850113854765909,0,0,0,0,0.0600137199957876,-2.16840434497101e-19,0,0,0,0,0,0,0.26955778237069,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.113976591537679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535599161755642,0,0.200965659677921,0,0,0.054102007507558,0,0,0.194240528056752,0,0,0,0,0,0,0,0,0.00136382061301464,0,0,0,0.190278737461611,0,0,0,0,0
X5.HK.EQUITY,0,-0.177293597352641,0,-0.101238702768481,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,1.22641214902486,-0.802476769450053,0,0,0,0.479463010622714,0,0,0,0,0,0,0,0,0,0,0,0.419457702232281,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,-0.0863698401507549,-0.0136083104948792
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0598048320160211,0,0,0,0,0,0,0.0782506135558812,0.286631901764329,-6.93889390390723e-18,0.0856471715098897,0,0,0,0.213058817737407,0,0,0.0450764535645411,0,0,0,0,0,0,0.0185687913768886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0758639298615034,0,0.00780597496813906
X601658.CH.Equity,0,0,-0.0622766856952717,0.619834086096903,0,0,0,1.73472347597681e-18,0.0332447258295121,0,0,0,0,0,-0.451621177306948,0,0,0,0,0,0,0,0.147963911570735,0,0.0902589431374615,0,0,-0.00598351917171317,0.853171333685722,0,0,0,0,0,0,0,0.070102353951709,0,0,-0.141385377394665,0,0,0,0,0,0,0,0,0,-0.0923697003876996,0,0,0
