,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0.417205209943353,0.225229071291079,0.0348284351490066,0,0,-0.0939221210303233,0,0,0,0,0,0,0,0,0.0354698309650928,0,-0.0742167950601938,-1.73472347597681e-18,0,0,0,0,0.0399089707185529,0,0,0,0,0.101296742062701,0,0,0,0,0,0,0,0,0,0,0,0,0.408752358534689,0,0,-0.0442212516748891,0,0,-0.0534097951212349,0
X601318.CH.EQUITY,0,0,0,0,0,1.0842021724855e-19,0,0,0.0251907189241186,-0.00638189025744643,0,0,0,0,0,0.100415678906962,0,0,0,0.430573546754008,0,0,0,0,0,0,0,0,0,0,0.0854423932228725,0,0.147745306453069,0,0,0,0,0.141288287112322,0,0,0,0,0,0,0,0,0,0,0.0376313661290094,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.665863297324715,0,0,0,0,0.0063461521259504,0,0.306123843778264,0,-0.0368066591019223,0.0442009440549945,0.0245244718421291,0,0,0.0232529259692416,0,0,0,0,0.0277973227865235,0,0.0460472281048444,0.0209410335652739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0592065730163905,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.159667509739917,0.108638122658654,0,0,0,0,0,0,0.319363946686059,0,0,0,0,0.140568041688501,0.0824949790875048,0,0,-0.0413067148490301,0,0,0,0.0221752650553365,0,0.0524136846476772,0.0941019432142784,0,0.143227321217544,0,0,0,0,0,0,0,0,0,0,0,0.136960786537265,0,0,0,0.00133636930857933
X601288.CH.EQUITY,0.175242150034008,0,0.831943507052672,0,0,0,0,-0.0739570971305994,0,0,0,0,0,0,0,0,0.0228013847256507,0,0,0,0.0119601126156597,0,0,0,0,0,0,0,0,0.0166519154196046,0,0,0,0,0,0.0556586267092914,0,0,-0.0192804277816269,0,-0.173356474105338,0,0,0,0,0,0,0,0,0.0264125987385588,-0.0146753611964293,0
X600036.CH.EQUITY,0.230231508787404,0.0383348920692792,0.216992364993272,0,0,0,0,0,0,0,0,0,0,0,0,0.183103390826713,0,0,0.0291736462272513,0,0,0,0,0,0,0.240880320833615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212772676898471,0,0,0.0101033838582351,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.148062466192742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631063811016207,0,0,0,0,0,-6.93889390390723e-18,0,-1.73472347597681e-18,0.00795431214266414,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0509202364712371,0,-0.0404557029723554,-0.0647036231619034,0,0.916845128218097,0,-0.0796506499754271,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.261301859630804,0,0,0,0.0915116654285896,0,0,0,0,0,0,0,0.236676173113812,0,0,0,0.086054219979645,0,0,0,-0.0464496534307747,0.0935132947303901,0,0,0,0,0,0.0370049398633502,0,0,0,0,0,0,0.113284937254187,0,0,0.0381784914990095,0,0,0,0,-0.0396107069014681
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.07591806270827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295672228227813,0.0648223707019746,0,0,0,0,0,-0.252992986197859,0,0,0,0,0,0,0.0697207432808568,0.34118379267114,0.104199554570483,0,0,0.0589212765123166,0,0,0,0
X388.HK.EQUITY,0,0.0077480577548947,0,0.13551338013899,0,0,0,0.122861889992865,0,0,0,0,0,0,0,0,0,0,0,0,0.109242575455076,0.426682049750044,0.0551609965636238,0,0,0,0,0,0,0,0,0,0,0.0658427233430958,0,0,0,0.0826907131700384,0.278762129441561,0,-0.305449320691904,0,0,0.0417915914633826,0,0,0,0.0160395067445065,0,0,0,0
