,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.0893413555180675,0,0,0,0.137428566550069,0.102940355956018,0,0.117768355474004,0,0,0,0.0259755391725144,0.272895904397802,0,0,0,0.0310268590866012,0,0,0,0,0,0.0427588638260221,0,0,0,0,0,0,0,0.0736935284887369,0,0,0.107385628539059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.194636108634268,0,0,0,0,0,0.0785572446510563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.383006639686282,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0405851997589762,0.0882426538003509,0,-0.0823284571772337,0.15947500351722
X600000.CH.EQUITY,0,0,0,0.257320158440258,0.380915249078778,0,0,0,0,0,0.177659870071525,0,0,0,0,0,0,0,0.0706062326995564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0112665650365148,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.281255593019106,0,0,0.417885199584051,0.00266370121231239,0.117906778183833,2.16840434497101e-19,0,0.0740878695792127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237182917439623,0,0,0,0.0146000001593241,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0.271702907963446,0,0,0.271867598203393,0,0,0.132636925594981,0.24433781583507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630659059227535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360664655656212,0,0,0,0
X600036.CH.EQUITY,0,0.121533568626268,0,0,0,0,0.438411796314129,0,0,0,0,0,0,0,0,0,0,0.0294789592308597,0,0.0491845843954216,0.224540453267655,0,0,0,0.0375606599541747,0,0,0,0.0912239158714053,0,0,0,-1.38777878078145e-17,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0337226839589607,1.38777878078145e-17,0,0.164190142887995,0,0.243171344025791,0,0.113125948501179,0,0,0.348306100542925,0,0,0,0,0,0,0,0.0656230072483308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618222726967653,0,-0.0233768670911145,0
X601169.CH.EQUITY,0.0205196273060548,0,0,0.181368672326534,0.00564173006177387,0,0,0,0.270255482299674,0,0.0145444764237988,0,0,0,0,0.184288864301803,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,6.93889390390723e-18,0,0,0.128306210343487,0,0,0,0.0889195308040529,0.0357567638657578,0,0,0,0,0,0.0760307000737354,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.0918380666604046,0.459815324936711,0.184040695036465,0,0,0.0845689471017754,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122459438363264,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.113388766661114,0.379864901435324,0.013818731117636,0.00489801859434662,0.371940096759741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0751186891405408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217303298187017,0
