,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0.417221381418814,0.225227848755672,0.0348300454347804,0,0,-0.0939276727581814,0,0,0,0,0,0,0,0,0.0354691990839798,0,-0.0742168733499808,0,-8.67361737988404e-19,0,0,0,0.0399063117165194,0,0,0,0,0.101292967094101,0,0,0,0,0,0,0,0,0,0,0,0,0.408750194064899,0,0,-0.0442257250826312,0,0,-0.0534056018617834,0
X601318.CH.EQUITY,0,0,0,0,0,1.0842021724855e-19,0,0,0.0251907189241186,-0.00638189025744643,0,0,0,0,0,0.100415678906962,0,0,0,0.430573546754008,0,0,0,0,0,0,0,0,0,0,0.0854423932228725,0,0.147745306453069,0,0,0,0,0.141288287112322,0,0,0,0,0,0,0,0,0,0,0.0376313661290094,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.665864015676337,0,0,0,0,0.00634049116915406,0,0.306121933686401,0,-0.0368078873297571,0.0442036069835453,0.0245246588126611,0,0,0.0232547351887907,0,0,0,0,0.0277964093239686,0,0.0460499651059856,0.0209427509915856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0592069050319162,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.159667509739917,0.108638122658654,0,0,0,0,0,0,0.319363946686059,0,0,0,0,0.140568041688501,0.0824949790875048,0,0,-0.0413067148490301,0,0,0,0.0221752650553365,0,0.0524136846476772,0.0941019432142784,0,0.143227321217544,0,0,0,0,0,0,0,0,0,0,0,0.136960786537265,0,0,0,0.00133636930857933
X601288.CH.EQUITY,0.175245221433106,0,0.831937933137608,0,0,0,0,-0.0739624561341933,0,0,0,0,0,0,0,0,0.0228080165754492,0,0,0,0.0119512847374965,0,0,0,0,0,0,0,0,0.0166888782224922,0,0,0,0,0,0.0556223123978574,0,0,-0.0192872637915869,0,-0.173365142521061,0,0,0,0,0,0,0,0,0.0264383798896557,-0.0146852132582646,0
X600036.CH.EQUITY,0.230231508787404,0.0383348920692792,0.216992364993272,0,0,0,0,0,0,0,0,0,0,0,0,0.183103390826713,0,0,0.0291736462272513,0,0,0,0,0,0,0.240880320833615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212772676898471,0,0,0.0101033838582351,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.148056883931973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631060477482698,0,0,0,0,0,-6.93889390390723e-18,0,0,0.00796496133929488,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0509236506835887,0,-0.0404449486617478,-0.0647046246354277,0,0.916844100915534,0,-0.0796558077604297,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.261301859630804,0,0,0,0.0915116654285896,0,0,0,0,0,0,0,0.236676173113812,0,0,0,0.086054219979645,0,0,0,-0.0464496534307747,0.0935132947303901,0,0,0,0,0,0.0370049398633502,0,0,0,0,0,0,0.113284937254187,0,0,0.0381784914990095,0,0,0,0,-0.0396107069014681
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0759422380947247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295676246787993,0.0648280210257138,0,0,0,0,0,-0.252980156296472,0,0,0,0,0,0,0.0697430249427766,0.341179705509311,0.104198514575281,0,0,0.0589235520949617,0,0,0,0
X388.HK.EQUITY,0,0.0077480577548947,0,0.13551338013899,0,0,0,0.122861889992865,0,0,0,0,0,0,0,0,0,0,0,0,0.109242575455076,0.426682049750044,0.0551609965636238,0,0,0,0,0,0,0,0,0,0,0.0658427233430958,0,0,0,0.0826907131700384,0.278762129441561,0,-0.305449320691904,0,0,0.0417915914633826,0,0,0,0.0160395067445065,0,0,0,0
